经度索引,纬度索引,count
74,2,349
99,28,218
41,65,202
93,34,611
126,45,911
33,49,592
34,48,736
63,76,147
109,15,160
89,71,116
19,78,1
23,80,44
51,22,36
51,24,12
45,71,19
9,30,13
106,68,35
35,40,21
124,7,519
125,5,915
98,16,8
95,25,6
125,35,60
54,67,1162
50,66,3
21,25,113
22,24,31
123,31,536
124,13,9
30,22,41
31,17,10
101,57,73
104,65,25
47,2,17
47,69,25
109,8,5
122,8,8
39,81,15
67,80,19
56,52,55
23,25,9
32,71,35
95,11,14
88,12,3
42,31,2
41,17,9
47,78,45
103,6,1
92,10,1
94,9,52
119,31,8
23,45,13
43,41,11482
55,57,5133
56,57,11414
58,58,22530
60,11,718
75,26,198927
77,35,5959828
78,48,413156
80,64,4432
83,34,1800320
90,36,10905
90,54,5837
117,15,6970
43,66,198
66,28,3985
68,72,1001
73,59,12427
84,59,17555
26,33,4584
65,60,331
92,70,2116
79,10,4
14,11,939
17,22,322
30,67,12971
65,57,1375
85,23,513
91,46,3326
22,9,18
94,32,16628
62,26,1698
46,63,288
29,11,229
89,22,172
79,0,104
79,2,2019
98,47,30
55,34,447
71,5,58
55,50,114
90,78,497
24,22,16
15,28,52
87,24,51
115,19,5
99,66,1
56,12,444
83,28,17972
100,30,22
98,79,98
78,67,25
128,19,5
97,25,24
45,21,27
121,16,168
82,61,17
122,71,12
125,66,16
114,78,42
89,82,38
123,8,8
57,11,112
33,44,9
112,20,28
51,8,39
72,0,21
108,23,1310
28,73,21
59,70,206
115,60,1
38,18,3
115,80,1
57,21,43
100,43,24
46,56,5
23,59,4
100,74,3
91,1,405
121,31,45
29,75,55
107,35,12
30,81,426
34,80,1414
50,64,15004
54,48,19056
55,59,4604
59,56,9457
62,30,193913
64,44,302145
71,46,4917936
78,25,988
78,34,1339601
78,59,32056
79,39,11420549
80,66,707
82,38,4101741
82,48,224165
83,49,211854
37,77,10146
39,36,6649
63,27,846
69,77,1926
124,45,775
95,79,153
51,62,506
86,20,3085
91,5,420
24,56,1850
52,44,11761
58,39,2881
80,20,789
114,18,54
59,27,1892
88,54,786
62,60,54
77,60,105
22,31,1459
84,62,441
112,58,153
66,68,372
81,15,349
113,25,30
17,78,35
21,79,31
9,29,10
90,35,633
62,8,400
56,24,27
63,5,14
56,0,77
56,20,29
36,61,371
87,12,106
77,63,112
128,31,59
128,18,34
107,77,17
59,64,373
58,17,277
100,55,329
51,36,168
107,30,22
47,9,5
95,14,2
126,81,2
105,46,2
34,28,8
29,63,427
30,63,347
38,39,6928
60,31,6409
60,40,6798
67,41,150115
68,43,2513768
72,34,62523
75,34,2170266
80,35,1580634
80,38,5003526
83,43,1955966
85,20,3845
